"altura","peso","sexo"
148,33,"female"
157,40,"female"
161,43,"male"
146,48,"male"
161,46,"male"
150,41,"female"
163,41,"male"
149,40,"male"
149,35,"female"
162,48,"male"
154,43,"female"
151,52,"female"
164,52,"male"
153,38,"female"
152,41,"female"
156,58,"male"
140,34,"female"
159,47,"male"
143,42,"female"
152,47,"male"
161,42,"male"
161,46,"male"
145,34,"female"
160,50,"male"
155,52,"male"
161,50,"male"
166,54,"male"
158,45,"male"
155,48,"female"
161,46,"male"
147,31,"female"
147,45,"female"
147,37,"female"
173,52,"male"
158,53,"male"
147,40,"female"
166,58,"male"
150,46,"female"
162,40,"male"
140,39,"female"
164,51,"male"
148,34,"male"
160,44,"male"
155,46,"male"
152,32,"female"
146,36,"female"
152,36,"female"
157,37,"male"
152,43,"female"
145,23,"female"
161,53,"male"
151,36,"female"
154,40,"male"
147,37,"female"
157,47,"female"
155,51,"male"
144,28,"female"
158,46,"male"
147,44,"female"
160,58,"male"
165,51,"male"
155,48,"female"
154,44,"female"
145,38,"female"
142,40,"female"
145,29,"female"
164,48,"male"
161,52,"male"
155,42,"male"
161,46,"male"
170,43,"male"
150,43,"female"
161,54,"male"
155,37,"female"
166,56,"male"
148,34,"female"
152,39,"female"
149,44,"female"
154,34,"female"
147,46,"female"
155,45,"male"
156,48,"female"
161,43,"male"
146,32,"female"
156,46,"male"
152,39,"female"
163,43,"female"
143,36,"female"
145,48,"male"
163,58,"male"
156,52,"female"
159,48,"male"
