"day","month","year","cases","deaths","country","comul_rate"
5,9,2020,16,0,"Afghanistan",1.07776305
4,9,2020,45,1,"Afghanistan",1.13559424
3,9,2020,38,3,"Afghanistan",1.27228614
2,9,2020,9,0,"Afghanistan",1.59298636
1,9,2020,34,4,"Afghanistan",1.56932815
31,8,2020,19,0,"Afghanistan",1.48783875
30,8,2020,3,0,"Afghanistan",1.55618469
29,8,2020,11,1,"Afghanistan",1.86374147
28,8,2020,3,0,"Afghanistan",1.85322671
27,8,2020,55,4,"Afghanistan",2.05300717
26,8,2020,1,0,"Afghanistan",2.10820967
25,8,2020,71,10,"Afghanistan",2.67074941
24,8,2020,0,0,"Afghanistan",2.48411239
23,8,2020,105,2,"Afghanistan",2.48411239
22,8,2020,38,0,"Afghanistan",2.31061883
21,8,2020,97,2,"Afghanistan",2.41576644
20,8,2020,160,8,"Afghanistan",2.26855978
19,8,2020,0,0,"Afghanistan",2.02409158
18,8,2020,3,0,"Afghanistan",2.23964419
17,8,2020,45,5,"Afghanistan",2.32901966
16,8,2020,120,7,"Afghanistan",2.21072859
15,8,2020,7,0,"Afghanistan",1.89528575
14,8,2020,79,9,"Afghanistan",2.3185049
13,8,2020,76,10,"Afghanistan",2.29747538
12,8,2020,215,32,"Afghanistan",2.09769491
11,8,2020,0,0,"Afghanistan",1.80328159
10,8,2020,0,0,"Afghanistan",2.07929408
9,8,2020,39,5,"Afghanistan",2.35793526
8,8,2020,78,9,"Afghanistan",2.57348786
7,8,2020,41,0,"Afghanistan",2.65234858
6,8,2020,67,4,"Afghanistan",2.57874525
5,8,2020,82,6,"Afghanistan",2.89681678
4,8,2020,37,4,"Afghanistan",2.97567749
3,8,2020,0,1,"Afghanistan",3.2464326
2,8,2020,0,0,"Afghanistan",3.70382472
1,8,2020,168,12,"Afghanistan",3.73536901
31,7,2020,71,0,"Afghanistan",3.86943221
30,7,2020,0,0,"Afghanistan",3.88257567
29,7,2020,103,1,"Afghanistan",4.55026302
28,7,2020,105,1,"Afghanistan",5.02868466
27,7,2020,106,10,"Afghanistan",4.76318694
26,7,2020,121,13,"Afghanistan",4.48454576
25,7,2020,108,35,"Afghanistan",4.38991291
24,7,2020,13,0,"Afghanistan",5.30995453
23,7,2020,188,21,"Afghanistan",5.9460976
22,7,2020,112,4,"Afghanistan",5.60699654
21,7,2020,140,5,"Afghanistan",5.8646082
20,7,2020,174,17,"Afghanistan",6.63481448
19,7,2020,12,17,"Afghanistan",6.91082696
18,7,2020,219,32,"Afghanistan",7.79406692
17,7,2020,76,21,"Afghanistan",8.01224823
16,7,2020,254,49,"Afghanistan",8.30140416
15,7,2020,285,33,"Afghanistan",8.47226904
14,7,2020,4,2,"Afghanistan",8.4564969
13,7,2020,0,0,"Afghanistan",9.15835722
12,7,2020,85,16,"Afghanistan",10.08102754
11,7,2020,458,37,"Afghanistan",10.29132277
10,7,2020,255,20,"Afghanistan",9.81290112
9,7,2020,59,1,"Afghanistan",10.35178265
8,7,2020,210,16,"Afghanistan",10.81180346
7,7,2020,433,56,"Afghanistan",11.14827583
6,7,2020,279,38,"Afghanistan",10.82494691
5,7,2020,348,7,"Afghanistan",11.16667666
4,7,2020,302,12,"Afghanistan",11.68715735
3,7,2020,186,33,"Afghanistan",11.80281973
2,7,2020,319,28,"Afghanistan",13.04356158
1,7,2020,279,13,"Afghanistan",13.68759072
30,6,2020,271,12,"Afghanistan",15.01245066
29,6,2020,351,18,"Afghanistan",16.30050894
28,6,2020,165,20,"Afghanistan",17.12328902
27,6,2020,276,8,"Afghanistan",18.15110695
26,6,2020,460,36,"Afghanistan",19.15000929
25,6,2020,234,21,"Afghanistan",19.90444343
24,6,2020,338,20,"Afghanistan",21.08735409
23,6,2020,310,17,"Afghanistan",21.62360692
22,6,2020,409,12,"Afghanistan",22.32020987
21,6,2020,546,21,"Afghanistan",23.32436959
20,6,2020,346,2,"Afghanistan",23.41900244
19,6,2020,658,42,"Afghanistan",24.91472726
18,6,2020,564,13,"Afghanistan",25.25382831
17,6,2020,783,13,"Afghanistan",25.76379424
16,6,2020,761,7,"Afghanistan",25.70070567
15,6,2020,664,20,"Afghanistan",25.13290856
14,6,2020,556,5,"Afghanistan",25.1749676
13,6,2020,656,20,"Afghanistan",25.98986161
12,6,2020,747,21,"Afghanistan",25.90311483
11,6,2020,684,21,"Afghanistan",25.46412354
10,6,2020,542,15,"Afghanistan",25.30903081
9,6,2020,575,12,"Afghanistan",25.61395889
8,6,2020,791,30,"Afghanistan",25.65601794
7,6,2020,582,18,"Afghanistan",25.11187903
6,6,2020,915,9,"Afghanistan",25.63761711
5,6,2020,787,6,"Afghanistan",24.65185822
4,6,2020,758,24,"Afghanistan",23.97891349
3,6,2020,759,5,"Afghanistan",23.27968185
2,6,2020,545,8,"Afghanistan",22.81177497
1,6,2020,680,8,"Afghanistan",22.45164439
31,5,2020,866,3,"Afghanistan",21.35285181
30,5,2020,623,11,"Afghanistan",19.07640596
29,5,2020,580,8,"Afghanistan",20.23302972
28,5,2020,625,7,"Afghanistan",19.00543132
27,5,2020,658,1,"Afghanistan",18.04333065
26,5,2020,591,1,"Afghanistan",17.04968569
25,5,2020,584,2,"Afghanistan",16.24530644
24,5,2020,782,11,"Afghanistan",15.68013801
23,5,2020,540,12,"Afghanistan",14.29481819
22,5,2020,531,6,"Afghanistan",13.44049382
21,5,2020,492,9,"Afghanistan",12.49416529
20,5,2020,581,5,"Afghanistan",11.64246962
19,5,2020,408,4,"Afghanistan",10.98266833
18,5,2020,262,1,"Afghanistan",10.40961384
17,5,2020,0,0,"Afghanistan",10.3386392
16,5,2020,1063,32,"Afghanistan",10.6908837
15,5,2020,113,6,"Afghanistan",8.32769107
14,5,2020,259,3,"Afghanistan",8.61421832
13,5,2020,280,5,"Afghanistan",8.25408774
12,5,2020,285,2,"Afghanistan",7.84401204
11,5,2020,369,5,"Afghanistan",7.54697003
10,5,2020,255,6,"Afghanistan",6.75573423
9,5,2020,215,3,"Afghanistan",6.37983151
8,5,2020,171,2,"Afghanistan",5.99867141
7,5,2020,168,9,"Afghanistan",5.82517784
6,5,2020,330,5,"Afghanistan",5.60436785
5,5,2020,190,5,"Afghanistan",4.89725015
4,5,2020,235,13,"Afghanistan",4.48980314
3,5,2020,134,4,"Afghanistan",4.10338566
2,5,2020,164,4,"Afghanistan",3.91674864
1,5,2020,222,4,"Afghanistan",3.61970663
30,4,2020,122,0,"Afghanistan",3.06242427
29,4,2020,124,3,"Afghanistan",2.92573237
28,4,2020,172,0,"Afghanistan",2.7285806
27,4,2020,68,10,"Afghanistan",2.42890989
26,4,2020,112,4,"Afghanistan",2.38685085
25,4,2020,70,1,"Afghanistan",2.181813
24,4,2020,105,2,"Afghanistan",2.09506622
23,4,2020,84,4,"Afghanistan",1.97940384
22,4,2020,61,1,"Afghanistan",1.90580051
21,4,2020,35,2,"Afghanistan",1.82431111
20,4,2020,88,3,"Afghanistan",1.83219718
19,4,2020,63,0,"Afghanistan",1.67710445
18,4,2020,51,1,"Afghanistan",1.60350112
17,4,2020,10,4,"Afghanistan",1.46943791
16,4,2020,70,2,"Afghanistan",1.55618469
15,4,2020,49,2,"Afghanistan",1.44052232
14,4,2020,58,3,"Afghanistan",1.37743375
13,4,2020,52,0,"Afghanistan",1.29594435
12,4,2020,34,3,"Afghanistan",1.18028197
11,4,2020,37,0,"Afghanistan",1.13033686
10,4,2020,61,1,"Afghanistan",1.07513436
9,4,2020,56,3,"Afghanistan",0.91478425
8,4,2020,30,4,"Afghanistan",0.85432437
7,4,2020,38,0,"Afghanistan",0.78072104
6,4,2020,29,2,"Afghanistan",0.69660295
5,4,2020,35,1,"Afghanistan",0.64665783
4,4,2020,0,0,"Afghanistan",0.55465367
3,4,2020,43,0,"Afghanistan",0.55991105
2,4,2020,26,0,"Afghanistan",0.44687736
1,4,2020,25,0,"Afghanistan",0.37853141
31,3,2020,27,0,"Afghanistan",0.31544284
30,3,2020,8,1,"Afghanistan",0.25761166
29,3,2020,15,1,"Afghanistan",0.25235427
28,3,2020,16,1,"Afghanistan",0.22080999
27,3,2020,0,0,"Afghanistan",0.18663702
26,3,2020,33,0,"Afghanistan",0.19452309
25,3,2020,2,0,"Afghanistan",0.1077763
24,3,2020,6,1,"Afghanistan",0.10251892
23,3,2020,10,0,"Afghanistan",0.08674678
22,3,2020,0,0,"Afghanistan",0.06045988
21,3,2020,2,0,"Afghanistan",0.06045988
20,3,2020,0,0,"Afghanistan",0.0552025
19,3,2020,0,0,"Afghanistan",0.05783119
18,3,2020,1,0,"Afghanistan",0.05783119
17,3,2020,5,0,"Afghanistan",0.0552025
16,3,2020,6,0,"Afghanistan",0.04205905
15,3,2020,3,0,"Afghanistan",0.0262869
11,3,2020,3,0,"Afghanistan",0.01840083
8,3,2020,3,0,"Afghanistan",0.01051476
2,3,2020,0,0,"Afghanistan",0.00262869
1,3,2020,0,0,"Afghanistan",0.00262869
29,2,2020,0,0,"Afghanistan",0.00262869
28,2,2020,0,0,"Afghanistan",0.00262869
27,2,2020,0,0,"Afghanistan",0.00262869
26,2,2020,0,0,"Afghanistan",0.00262869
25,2,2020,1,0,"Afghanistan",0.00262869
24,2,2020,0,0,"Afghanistan",0
23,2,2020,0,0,"Afghanistan",0
22,2,2020,0,0,"Afghanistan",0
21,2,2020,0,0,"Afghanistan",0
20,2,2020,0,0,"Afghanistan",0
19,2,2020,0,0,"Afghanistan",0
18,2,2020,0,0,"Afghanistan",0
17,2,2020,0,0,"Afghanistan",0
16,2,2020,0,0,"Afghanistan",0
15,2,2020,0,0,"Afghanistan",0
14,2,2020,0,0,"Afghanistan",0
13,2,2020,0,0,"Afghanistan",0
12,2,2020,0,0,"Afghanistan",0
11,2,2020,0,0,"Afghanistan",0
10,2,2020,0,0,"Afghanistan",0
9,2,2020,0,0,"Afghanistan",0
8,2,2020,0,0,"Afghanistan",0
7,2,2020,0,0,"Afghanistan",0
6,2,2020,0,0,"Afghanistan",0
5,2,2020,0,0,"Afghanistan",0
4,2,2020,0,0,"Afghanistan",0
3,2,2020,0,0,"Afghanistan",0
2,2,2020,0,0,"Afghanistan",0
1,2,2020,0,0,"Afghanistan",0
31,1,2020,0,0,"Afghanistan",0
30,1,2020,0,0,"Afghanistan",0
29,1,2020,0,0,"Afghanistan",0
28,1,2020,0,0,"Afghanistan",0
27,1,2020,0,0,"Afghanistan",0
26,1,2020,0,0,"Afghanistan",0
25,1,2020,0,0,"Afghanistan",0
24,1,2020,0,0,"Afghanistan",0
23,1,2020,0,0,"Afghanistan",0
22,1,2020,0,0,"Afghanistan",0
21,1,2020,0,0,"Afghanistan",0
20,1,2020,0,0,"Afghanistan",0
19,1,2020,0,0,"Afghanistan",0
18,1,2020,0,0,"Afghanistan",0
17,1,2020,0,0,"Afghanistan",0
16,1,2020,0,0,"Afghanistan",0
15,1,2020,0,0,"Afghanistan",0
14,1,2020,0,0,"Afghanistan",0
13,1,2020,0,0,"Afghanistan",0
12,1,2020,0,0,"Afghanistan",NA
11,1,2020,0,0,"Afghanistan",NA
10,1,2020,0,0,"Afghanistan",NA
9,1,2020,0,0,"Afghanistan",NA
8,1,2020,0,0,"Afghanistan",NA
7,1,2020,0,0,"Afghanistan",NA
6,1,2020,0,0,"Afghanistan",NA
5,1,2020,0,0,"Afghanistan",NA
4,1,2020,0,0,"Afghanistan",NA
3,1,2020,0,0,"Afghanistan",NA
2,1,2020,0,0,"Afghanistan",NA
1,1,2020,0,0,"Afghanistan",NA
31,12,2019,0,0,"Afghanistan",NA
14,12,2020,788,14,"Albania",380.97041427
13,12,2020,879,12,"Albania",382.61237754
12,12,2020,802,12,"Albania",370.9439577
11,12,2020,873,14,"Albania",365.45910166
10,12,2020,752,15,"Albania",357.87812231
9,12,2020,753,14,"Albania",354.10510032
8,12,2020,695,17,"Albania",353.79068182
7,12,2020,840,16,"Albania",357.2842207
6,12,2020,846,19,"Albania",347.67698879
5,12,2020,801,18,"Albania",343.86903142
4,12,2020,782,13,"Albania",345.09177003
3,12,2020,705,17,"Albania",345.23151158
2,12,2020,832,12,"Albania",345.44112391
1,12,2020,557,12,"Albania",340.62004027
30,11,2020,835,11,"Albania",342.19213276
29,11,2020,545,16,"Albania",333.87751024
28,11,2020,645,18,"Albania",333.42335019
27,11,2020,656,10,"Albania",328.00836493
26,11,2020,644,8,"Albania",319.4142593
25,11,2020,744,19,"Albania",314.62811104
24,11,2020,795,17,"Albania",308.30480568
23,11,2020,565,14,"Albania",298.87225072
22,11,2020,737,13,"Albania",296.63638584
21,11,2020,836,15,"Albania",288.18202176
20,11,2020,786,11,"Albania",276.05944187
19,11,2020,711,9,"Albania",263.30802497
18,11,2020,694,6,"Albania",252.30337752
17,11,2020,602,8,"Albania",241.36860084
16,11,2020,597,11,"Albania",231.5517566
15,11,2020,532,7,"Albania",222.11920164
14,11,2020,490,7,"Albania",211.95300352
13,11,2020,410,8,"Albania",205.97905204
12,11,2020,507,11,"Albania",201.26277456
11,11,2020,563,8,"Albania",194.41543837
10,11,2020,525,12,"Albania",184.66846491
9,11,2020,501,2,"Albania",176.38877777
8,11,2020,495,8,"Albania",169.33182925
7,11,2020,489,6,"Albania",162.58929922
6,11,2020,421,7,"Albania",156.19612308
5,11,2020,396,4,"Albania",152.03881182
4,11,2020,381,5,"Albania",148.58020833
3,11,2020,321,9,"Albania",145.78537723
2,11,2020,327,9,"Albania",144.87705713
1,11,2020,241,7,"Albania",143.27002924
31,10,2020,319,3,"Albania",144.38796168
30,10,2020,275,6,"Albania",143.33990002
29,10,2020,311,6,"Albania",142.71106302
28,10,2020,284,7,"Albania",138.93804104
27,10,2020,288,3,"Albania",135.37463139
26,10,2020,299,4,"Albania",131.2871909
25,10,2020,302,4,"Albania",126.71065498
24,10,2020,306,4,"Albania",121.92450672
23,10,2020,302,3,"Albania",117.06848769
22,10,2020,297,4,"Albania",112.42208098
21,10,2020,301,4,"Albania",107.7058035
20,10,2020,295,3,"Albania",102.71004291
19,10,2020,281,3,"Albania",97.43479921
18,10,2020,273,5,"Albania",92.8233279
17,10,2020,289,4,"Albania",88.59614586
16,10,2020,257,5,"Albania",84.05454532
15,10,2020,203,5,"Albania",80.56100645
14,10,2020,182,5,"Albania",78.04565846
13,10,2020,171,4,"Albania",76.12421208
12,10,2020,168,4,"Albania",74.76173191
11,10,2020,165,3,"Albania",72.59573781
10,10,2020,167,2,"Albania",70.60442065
9,10,2020,169,4,"Albania",69.10219894
8,10,2020,162,4,"Albania",67.87946033
7,10,2020,158,3,"Albania",66.44710939
6,10,2020,144,4,"Albania",65.5038539
5,10,2020,149,4,"Albania",65.71346623
4,10,2020,152,3,"Albania",66.06282012
3,10,2020,159,1,"Albania",66.09775551
2,10,2020,157,1,"Albania",64.90995229
1,10,2020,131,3,"Albania",64.03656757
30,9,2020,127,4,"Albania",64.49072762
29,9,2020,132,3,"Albania",65.36411234
28,9,2020,106,2,"Albania",66.58685095
27,9,2020,108,2,"Albania",68.75284505
26,9,2020,124,3,"Albania",70.70922682
25,9,2020,134,0,"Albania",72.0018362
24,9,2020,121,3,"Albania",72.77041476
23,9,2020,131,3,"Albania",73.81847642
22,9,2020,150,2,"Albania",74.37744264
21,9,2020,159,4,"Albania",74.41237803
20,9,2020,153,5,"Albania",74.20276569
19,9,2020,125,5,"Albania",73.5739287
18,9,2020,132,5,"Albania",73.50405792
17,9,2020,144,3,"Albania",72.9450917
16,9,2020,152,2,"Albania",72.17651315
15,9,2020,167,4,"Albania",70.11532521
14,9,2020,168,4,"Albania",68.92752199
13,9,2020,164,3,"Albania",66.58685095
12,9,2020,161,3,"Albania",63.79201985
11,9,2020,156,2,"Albania",62.0801858
10,9,2020,151,1,"Albania",62.0801858
9,9,2020,147,2,"Albania",62.67408741
8,9,2020,151,3,"Albania",62.91863513
7,9,2020,153,4,"Albania",63.86189063
6,9,2020,135,6,"Albania",63.82695524
5,9,2020,123,5,"Albania",64.5605984
4,9,2020,116,5,"Albania",65.57372467
3,9,2020,122,6,"Albania",66.93620484
2,9,2020,93,6,"Albania",68.19387883
1,9,2020,133,4,"Albania",70.35987293
31,8,2020,101,5,"Albania",69.87077749
30,8,2020,84,4,"Albania",70.53454988
29,8,2020,112,5,"Albania",72.59573781
28,8,2020,156,3,"Albania",73.78354103
27,8,2020,168,4,"Albania",73.71367025
26,8,2020,154,5,"Albania",72.77041476
25,8,2020,178,4,"Albania",72.28131931
24,8,2020,152,5,"Albania",70.42974371
23,8,2020,156,5,"Albania",69.87077749
22,8,2020,152,2,"Albania",68.75284505
21,8,2020,155,4,"Albania",68.15894344
20,8,2020,158,2,"Albania",67.18075256
19,8,2020,155,2,"Albania",66.51698017
18,8,2020,119,2,"Albania",65.64359545
17,8,2020,120,3,"Albania",65.01475845
16,8,2020,143,6,"Albania",65.11956462
15,8,2020,146,6,"Albania",64.31605068
14,8,2020,154,5,"Albania",61.97537963
13,8,2020,141,3,"Albania",59.80938553
12,8,2020,140,5,"Albania",58.6565177
11,8,2020,125,1,"Albania",57.85300376
10,8,2020,136,6,"Albania",57.57352065
9,8,2020,124,4,"Albania",57.22416676
8,8,2020,135,1,"Albania",55.23284961
7,8,2020,127,6,"Albania",54.14985256
6,8,2020,139,6,"Albania",53.48608017
5,8,2020,130,4,"Albania",51.00566757
4,8,2020,101,6,"Albania",50.62137829
3,8,2020,123,5,"Albania",49.92267052
2,8,2020,120,4,"Albania",48.49031958
1,8,2020,79,3,"Albania",47.86148258
31,7,2020,92,4,"Albania",47.02303325
30,7,2020,108,2,"Albania",47.26758097
29,7,2020,117,4,"Albania",46.46406703
28,7,2020,117,6,"Albania",45.73042387
27,7,2020,126,4,"Albania",45.73042387
26,7,2020,67,6,"Albania",44.22820215
25,7,2020,104,5,"Albania",45.13652226
24,7,2020,108,3,"Albania",44.64742682
23,7,2020,68,3,"Albania",43.73910671
22,7,2020,119,4,"Albania",43.73910671
21,7,2020,81,1,"Albania",42.16701422
20,7,2020,82,1,"Albania",41.81766033
19,7,2020,102,4,"Albania",41.53817722
18,7,2020,55,3,"Albania",40.31543861
17,7,2020,99,3,"Albania",41.53817722
16,7,2020,85,4,"Albania",40.94427561
15,7,2020,96,2,"Albania",39.54686006
14,7,2020,117,2,"Albania",38.60360456
13,7,2020,83,4,"Albania",36.75202896
12,7,2020,93,4,"Albania",36.36773968
11,7,2020,90,2,"Albania",35.24980724
10,7,2020,82,0,"Albania",34.79564719
9,7,2020,68,2,"Albania",34.65590564
8,7,2020,74,2,"Albania",34.62097025
7,7,2020,71,3,"Albania",33.85239169
6,7,2020,74,2,"Albania",33.74758553
5,7,2020,67,2,"Albania",32.42004076
4,7,2020,90,3,"Albania",31.93094531
3,7,2020,82,4,"Albania",30.53352976
2,7,2020,45,3,"Albania",29.97456354
1,7,2020,69,4,"Albania",30.14924049
30,6,2020,64,3,"Albania",30.60340054
29,6,2020,72,2,"Albania",30.77807748
28,6,2020,61,2,"Albania",30.25404665
27,6,2020,77,2,"Albania",29.7998866
26,6,2020,78,2,"Albania",28.19285872
25,6,2020,67,2,"Albania",27.0050555
24,6,2020,52,1,"Albania",26.13167078
23,6,2020,68,0,"Albania",25.57270456
22,6,2020,36,1,"Albania",23.79099974
21,6,2020,53,1,"Albania",23.02242118
20,6,2020,50,3,"Albania",21.86955335
19,6,2020,66,1,"Albania",20.64681475
18,6,2020,50,1,"Albania",18.79523914
17,6,2020,82,1,"Albania",17.74717748
16,6,2020,69,0,"Albania",15.61611877
15,6,2020,57,0,"Albania",13.41518928
14,6,2020,48,0,"Albania",11.94790295
13,6,2020,31,1,"Albania",11.07451823
12,6,2020,44,1,"Albania",10.79503512
11,6,2020,42,0,"Albania",10.16619812
10,6,2020,36,0,"Albania",9.43255496
9,6,2020,17,0,"Albania",9.04826569
8,6,2020,14,0,"Albania",8.66397641
7,6,2020,20,1,"Albania",8.48929947
6,6,2020,15,0,"Albania",8.0700748
5,6,2020,13,0,"Albania",7.96526863
4,6,2020,20,0,"Albania",7.68578552
3,6,2020,21,0,"Albania",7.51110858
2,6,2020,6,0,"Albania",6.81240081
1,6,2020,15,0,"Albania",6.67265925
31,5,2020,23,0,"Albania",6.60278847
30,5,2020,23,0,"Albania",6.39317614
29,5,2020,26,0,"Albania",6.2184992
28,5,2020,21,0,"Albania",5.93901609
27,5,2020,25,1,"Albania",5.34511448
26,5,2020,6,0,"Albania",4.61147131
25,5,2020,9,1,"Albania",4.54160054
24,5,2020,8,0,"Albania",4.6464067
23,5,2020,12,0,"Albania",4.57653593
22,5,2020,5,0,"Albania",4.43679437
21,5,2020,15,0,"Albania",4.61147131
20,5,2020,1,0,"Albania",4.50666515
19,5,2020,2,0,"Albania",5.06563137
18,5,2020,13,0,"Albania",5.2752437
17,5,2020,17,0,"Albania",5.03069598
16,5,2020,18,0,"Albania",4.68134209
15,5,2020,18,0,"Albania",4.36692359
14,5,2020,4,0,"Albania",3.98263432
13,5,2020,4,0,"Albania",4.40185898
12,5,2020,4,0,"Albania",4.75121287
11,5,2020,12,0,"Albania",4.9608252
10,5,2020,6,0,"Albania",5.03069598
9,5,2020,8,0,"Albania",6.00888686
8,5,2020,10,0,"Albania",6.25343459
7,5,2020,12,0,"Albania",6.91720697
6,5,2020,17,0,"Albania",7.37136703
5,5,2020,8,0,"Albania",7.65085014
4,5,2020,6,0,"Albania",8.13994558
3,5,2020,7,0,"Albania",8.41942869
2,5,2020,9,0,"Albania",8.48929947
1,5,2020,7,0,"Albania",8.90852413
30,4,2020,16,1,"Albania",9.50242574
29,4,2020,14,2,"Albania",9.6072319
28,4,2020,10,0,"Albania",9.39761957
27,4,2020,14,1,"Albania",9.78190885
26,4,2020,34,0,"Albania",9.74697346
25,4,2020,15,0,"Albania",9.15307185
24,4,2020,29,0,"Albania",8.87358874
23,4,2020,25,1,"Albania",8.17488097
22,4,2020,25,0,"Albania",7.89539786
21,4,2020,22,0,"Albania",7.23162547
20,4,2020,14,0,"Albania",7.02201314
19,4,2020,9,0,"Albania",7.51110858
18,4,2020,21,0,"Albania",8.20981636
17,4,2020,24,1,"Albania",8.41942869
16,4,2020,19,1,"Albania",8.20981636
15,4,2020,8,1,"Albania",8.10501019
14,4,2020,21,0,"Albania",8.52423485
13,4,2020,13,0,"Albania",8.17488097
12,4,2020,17,0,"Albania",8.24475174
11,4,2020,7,0,"Albania",8.03513941
10,4,2020,9,1,"Albania",8.20981636
9,4,2020,17,0,"Albania",8.87358874
8,4,2020,6,0,"Albania",9.08320107
7,4,2020,16,1,"Albania",9.67710268
6,4,2020,28,2,"Albania",9.50242574
5,4,2020,29,2,"Albania",8.97839491
4,4,2020,27,1,"Albania",8.17488097
3,4,2020,18,1,"Albania",7.23162547
2,4,2020,16,0,"Albania",6.98707775
